#,Name,Capacity,Arrival time min,Arrival time max,Service time,Address,New Arrival time min,New Arrival time max
8,Delivery #234872 to IVANS BUTCHERY BELLA VISTA(IVANS BUTCHERY BELLA VISTA) ref #143532,44,7:52,7:52,5,"Circa Retail, 1 Circa Boulevarde, Bella Vista NSW 2153, Australia",8:04,8:04
9,Delivery #234977 to ENIGMA AT THE PIAZZA(ENIGMA AT THE PIAZZA),50,8:07,8:07,5,"6-14 Castle St, Castle Hill NSW 2154, Australia",8:25,8:25
10,Delivery #234975 to IL NIDO(IL NIDO),11,8:13,8:13,5,"Suite 35/3 Terminus St, Castle Hill NSW 2154, Australia",8:33,8:33
11,Delivery #227674 to PRIME QUALITY CATERING - NTH ROCKS(PRIME QUALITY CATERING - NTH ROCKS) ref #143530,227,8:29,8:29,0,"328/336 N Rocks Rd, North Rocks NSW 2151, Australia",8:50,8:50
12,Delivery #234874 to PRIME QUALITY CATERING - NTH ROCKS(PRIME QUALITY CATERING - NTH ROCKS) ref #143530,227,8:29,8:29,5,"328/336 N Rocks Rd, North Rocks NSW 2151, Australia",8:50,8:50
13,Delivery #234921 to UNITED MEAT CO PTY LTD RYDALMERE(UNITED MEAT CO PTY LTD RYDALMERE) ref #143475,61,8:43,8:43,5,"Rydalmere NSW 2116, Australia",9:09,9:09
14,Delivery #234906 to FUDA GROUP PTY LTD(FUDA GROUP PTY LTD) ref #143589,243,8:54,8:54,5,"45 Day St N, Silverwater NSW 2128, Australia",9:22,9:22
15,Delivery #234986 to CONCERTO(CONCERTO),9,9:03,9:03,5,"21 Bennelong Pkwy, Wentworth Point NSW 2127, Australia",9:31,9:31
16,Delivery #234887 to SYDNEY LAMBS PTY LTD(SYDNEY LAMBS PTY LTD) ref #143502,40,9:16,9:16,5,"38 Birnie Ave, Lidcombe NSW 2141, Australia",9:44,9:44
17,Delivery #234903 to DARWICHE BUTCHERY- GREENACRE(DARWICHE BUTCHERY- GREENACRE) ref #143482,30,9:30,9:30,5,"3/12 Boronia Rd, Greenacre NSW 2190, Australia",10:02,10:02
18,Delivery #234901 to AL ZAEEM GREENACRE(AL ZAEEM GREENACRE) ref #143483,187,9:35,9:35,5,"136 Waterloo Rd, Greenacre NSW 2190, Australia",10:08,10:08
19,Delivery #234850 to THAI SON BUTCHERY(THAI SON BUTCHERY) ref #2,58,9:47,9:47,5,"53 Bankstown City Plaza, Bankstown NSW 2200, Australia",10:23,10:23
20,Depot,,10:02,10:02,0,"22 George Young St, Regents Park NSW 2143, Australia",10:38,10:38
1,Start at depot ,0,7:00,7:00,0,"22 George Young St, Regents Park NSW 2143, Australia",7:00,7:00
2,Delivery #227659 to AL RASHEED GRILLS PTY LTD(AL RASHEED GRILLS PTY LTD) ref #143593,240,7:13,7:13,0,"Merrylands NSW 2160, Australia",7:16,7:16
3,Delivery #234859 to AL RASHEED GRILLS PTY LTD(AL RASHEED GRILLS PTY LTD) ref #143593,240,7:13,7:13,5,"Merrylands NSW 2160, Australia",7:16,7:16
4,Delivery #227676 to BABYLON BUTCHERY(BABYLON BUTCHERY) ref #143587,51,7:27,7:27,0,"35A The Crescent, Fairfield NSW 2165, Australia",7:34,7:34
5,Delivery #234876 to BABYLON BUTCHERY(BABYLON BUTCHERY) ref #143587,51,7:27,7:27,5,"35A The Crescent, Fairfield NSW 2165, Australia",7:34,7:34
6,Delivery #227684 to THEO'S CECINAS - FAIRFIELD WEST(THEO'S CECINAS - FAIRFIELD WEST) ref #143504,80,7:35,7:35,0,"205 Hamilton Rd, Fairfield NSW 2165, Australia",7:42,7:42
7,Delivery #234884 to THEO'S CECINAS - FAIRFIELD WEST(THEO'S CECINAS - FAIRFIELD WEST) ref #143504,80,7:35,7:35,5,"205 Hamilton Rd, Fairfield NSW 2165, Australia",7:42,7:42
8,Delivery #227682 to PAPANDREA FINE FOODS PTY LTD(PAPANDREA FINE FOODS PTY LTD) ref #143542,51,7:49,7:49,0,"Unit 4/2 Frank St, Wetherill Park NSW 2164, Australia",7:58,7:58
9,Delivery #234882 to PAPANDREA FINE FOODS PTY LTD(PAPANDREA FINE FOODS PTY LTD) ref #143542,51,7:49,7:49,5,"Unit 4/2 Frank St, Wetherill Park NSW 2164, Australia",7:58,7:58
10,Delivery #234970 to IL PIATTO(IL PIATTO),60,8:02,8:02,5,"Wallgrove Rd, Horsley Park NSW 2175, Australia",8:15,8:15
11,Delivery #227667 to SUTCLIFFE PLUMPTON(SUTCLIFFE PLUMPTON) ref #143585,45,8:19,8:19,0,"M2/260 Jersey Rd, Plumpton NSW 2761, Australia",8:32,8:32
12,Delivery #234867 to SUTCLIFFE PLUMPTON(SUTCLIFFE PLUMPTON) ref #143585,45,8:19,8:19,5,"M2/260 Jersey Rd, Plumpton NSW 2761, Australia",8:32,8:32
13,Delivery #227664 to NEDS BUTCHERY(NEDS BUTCHERY) ref #143554,145,8:36,8:36,0,"71 Queen St, St Marys NSW 2760, Australia",8:50,8:50
14,Delivery #234864 to NEDS BUTCHERY(NEDS BUTCHERY) ref #143554,145,8:36,8:36,5,"71 Queen St, St Marys NSW 2760, Australia",8:50,8:50
15,"Minto NSW 2566, Australia",,9:17,9:17,0,"Minto NSW 2566, Australia",9:30,9:30
1,Start at depot ,0,7:00,7:00,0,"22 George Young St, Regents Park NSW 2143, Australia",7:00,7:00
2,Delivery #234984 to CAFE ON MONASH - FBU(CAFE ON MONASH - FBU),15,7:21,7:21,5,"13 Monash Rd, Gladesville NSW 2111, Australia",7:24,7:24
3,Delivery #234991 to SALT PEPPER NUTMEG FBU(SALT PEPPER NUTMEG FBU),13,7:41,7:41,5,"110 Pacific Hwy, Roseville NSW 2069, Australia",7:46,7:46
4,Delivery #234893 to LE WOOLF(LE WOOLF) ref #143517,262,8:02,8:02,5,"Old Pittwater Rd, Brookvale NSW 2100, Australia",8:08,8:08
5,Delivery #227693 to LE WOOLF(LE WOOLF) ref #143517,262,8:07,8:07,0,"Old Pittwater Rd, Brookvale NSW 2100, Australia",8:08,8:08
6,Delivery #234992 to ALEXANDER AGED CARE(ALEXANDER AGED CARE),16,8:09,8:09,5,"Spitak Apartments, 16 Victor Rd, Brookvale NSW 2100, Australia",8:16,8:16
7,Delivery #227689 to DEE WHY MEAT MARKET(DEE WHY MEAT MARKET) ref #143474,89,8:16,8:16,0,"8 Fisher Rd, Dee Why NSW 2099, Australia",8:24,8:24
8,Delivery #234889 to DEE WHY MEAT MARKET(DEE WHY MEAT MARKET) ref #143474,89,8:16,8:16,5,"8 Fisher Rd, Dee Why NSW 2099, Australia",8:24,8:24
9,Delivery #227694 to PLATEAU FINE QUALITY MEATS(PLATEAU FINE QUALITY MEATS) ref #2,74,8:28,8:28,0,"4e/65 Veterans Parade, Collaroy Plateau NSW 2097, Australia",8:37,8:37
10,Delivery #234894 to PLATEAU FINE QUALITY MEATS(PLATEAU FINE QUALITY MEATS) ref #2,74,8:28,8:28,5,"4e/65 Veterans Parade, Collaroy Plateau NSW 2097, Australia",8:37,8:37
11,Delivery #234993 to BELROSE COUNTRY(BELROSE COUNTRY),21,8:49,8:49,5,"2 Dawes Rd, Belrose NSW 2085, Australia",9:01,9:01
12,Delivery #227690 to FORESTWAY FRESH(FORESTWAY FRESH) ref #143488,113,8:59,8:59,0,"2 Myoora Rd, Terrey Hills NSW 2084, Australia",9:12,9:12
13,Delivery #234890 to FORESTWAY FRESH(FORESTWAY FRESH) ref #143488,113,8:59,8:59,5,"2 Myoora Rd, Terrey Hills NSW 2084, Australia",9:12,9:12
14,Delivery #234996 to KARI COURT(KARI COURT),27,9:12,9:12,5,"251-257 Mona Vale Rd, St. Ives NSW 2075, Australia",9:24,9:24
15,Delivery #234919 to TENDER GOURMET BUTCHERY MACQUARIE(TENDER GOURMET BUTCHERY MACQUARIE) ref #2,240,9:28,9:28,5,"Cnr Herring Rd &, Waterloo Rd, North Ryde NSW 2113, Australia",9:41,9:41
16,Delivery #234978 to THE LAMP POST(THE LAMP POST),47,10:08,10:08,5,"26 Stony Creek Rd, Shanes Park NSW 2747, Australia",10:18,10:18
17,"Shanes Park NSW 2747, Australia",,10:18,10:18,0,"Shanes Park NSW 2747, Australia",10:25,10:25
1,Start at depot ,0,7:00,7:00,0,"22 George Young St, Regents Park NSW 2143, Australia",7:00,7:00
2,Delivery #234849 to HOMEBUSH EXPORT MEAT-t97073500(HOMEBUSH EXPORT MEAT-t97073500) ref #143521,69,7:13,7:13,5,"50 Harley Cres, Condell Park NSW 2200, Australia",7:13,7:13
3,Delivery #234842 to THE BUTCHERS PANTRY(THE BUTCHERS PANTRY) ref #143507,189,7:30,7:30,5,"88 Anderson Ave, Panania NSW 2213, Australia",7:32,7:32
4,Delivery #234960 to CHAMA MENAI(CHAMA MENAI),34,7:50,7:50,5,"15/80 Allison Cres, Menai NSW 2234, Australia",7:54,7:54
5,Delivery #234936 to FERNDALE GARDENS(FERNDALE GARDENS),36,8:11,8:11,5,"33 Jersey Ave, Mortdale NSW 2223, Australia",8:16,8:16
6,Delivery #234847 to STATION MEATS(STATION MEATS) ref #143500,20,8:21,8:21,5,"12/225 Forest Rd, Hurstville NSW 2220, Australia",8:28,8:28
7,Delivery #234843 to CHENG XING MEAT(CHENG XING MEAT) ref #143458,142,8:28,8:28,5,"192 Forest Rd, Hurstville NSW 2220, Australia",8:35,8:35
8,Delivery #234900 to VIOLA BUTCHERY(VIOLA BUTCHERY) ref #143509,99,8:41,8:41,5,"96 Kingsgrove Rd, Belmore NSW 2192, Australia",8:50,8:50
9,Delivery #234904 to Q J MEATS(Q J MEATS) ref #143460,112,8:50,8:50,5,"240 Beamish St, Campsie NSW 2194, Australia",9:00,9:00
10,Delivery #234845 to ROCKDALE HALAL MEATS(ROCKDALE HALAL MEATS) ref #143478,182,9:04,9:04,5,"18 Frederick St, Rockdale NSW 2216, Australia",9:17,9:17
11,Delivery #234846 to SALAAM NAMASTE HALAL BUTCHERY(SALAAM NAMASTE HALAL BUTCHERY) ref #143562,40,9:12,9:12,5,"20 Station St, Kogarah NSW 2217, Australia",9:25,9:25
12,Delivery #234844 to RAFFLE KINGS OF MONTEREY(RAFFLE KINGS OF MONTEREY) ref #143465,30,9:22,9:22,5,"62 Scarborough St, Monterey NSW 2217, Australia",9:36,9:36
13,Delivery #234962 to NICHOLAS & SAVILLE(NICHOLAS & SAVILLE),40,9:35,9:35,5,"2/3 Box Rd, Taren Point NSW 2229, Australia",9:51,9:51
14,Delivery #234959 to CHAMA CARINGBAH(CHAMA CARINGBAH),80,9:44,9:44,5,"shop 2/277 Kingsway, Caringbah NSW 2229, Australia",10:01,10:01
15,Delivery #234857 to MAN LIN WAH CHINESE RESTAURANT(MAN LIN WAH CHINESE RESTAURANT) ref #143448,96,9:54,9:54,5,"601 Kingsway, Miranda NSW 2228, Australia",10:13,10:13
16,Delivery #227657 to MAN LIN WAH CHINESE RESTAURANT(MAN LIN WAH CHINESE RESTAURANT) ref #143448,96,9:59,9:59,0,"601 Kingsway, Miranda NSW 2228, Australia",10:13,10:13
17,Delivery #234965 to LA CUCINA GYMEA(LA CUCINA GYMEA),23,10:02,10:02,5,"14 Gymea Bay Rd, Gymea NSW 2227, Australia",10:23,10:23
18,Delivery #234858 to RUDIS CONTINENTAL(RUDIS CONTINENTAL) ref #143496,37,10:09,10:09,5,"148 Oak Rd, Kirrawee NSW 2232, Australia",10:31,10:31
19,Delivery #227658 to RUDIS CONTINENTAL(RUDIS CONTINENTAL) ref #143496,37,10:14,10:14,0,"148 Oak Rd, Kirrawee NSW 2232, Australia",10:31,10:31
20,Delivery #234853 to COOTA VALLEY MEATS(COOTA VALLEY MEATS) ref #143567,50,10:23,10:23,5,"1053 Old Princes Hwy, Engadine NSW 2233, Australia",10:45,10:45
21,Delivery #227653 to COOTA VALLEY MEATS(COOTA VALLEY MEATS) ref #143567,50,10:28,10:28,0,"1053 Old Princes Hwy, Engadine NSW 2233, Australia",10:45,10:45
22,"Thirroul NSW 2515, Australia",,11:01,11:01,0,"Thirroul NSW 2515, Australia",11:19,11:19
1,Start at depot ,0,7:00,7:00,0,"22 George Young St, Regents Park NSW 2143, Australia",7:00,7:00
2,Delivery #234907 to MEAT MASTER - AUBURN(MEAT MASTER - AUBURN) ref #143556,80,7:07,7:07,5,"Auburn Central, 57-59 Queen St, Auburn NSW 2144, Australia",7:08,7:08
3,Delivery #234905 to CENTRO MEAT MASTER(CENTRO MEAT MASTER) ref #143558,100,7:12,7:12,5,"Harrow Rd & Queen St, Auburn NSW 2144, Australia",7:13,7:13
4,Delivery #227663 to JONE FOODS(JONE FOODS) ref #143551,94,7:36,7:36,0,"4/4-6 Wiltona Pl, Girraween NSW 2145, Australia",7:38,7:38
5,Delivery #234863 to JONE FOODS(JONE FOODS) ref #143551,94,7:36,7:36,5,"4/4-6 Wiltona Pl, Girraween NSW 2145, Australia",7:38,7:38
6,Delivery #227665 to RONG HUA BUTCHERY - BLACKTOWN(RONG HUA BUTCHERY - BLACKTOWN) ref #143580,185,7:51,7:51,0,"57 Main St, Blacktown NSW 2148, Australia",7:56,7:56
7,Delivery #234865 to RONG HUA BUTCHERY - BLACKTOWN(RONG HUA BUTCHERY - BLACKTOWN) ref #143580,185,7:51,7:51,5,"57 Main St, Blacktown NSW 2148, Australia",7:56,7:56
8,Delivery #227661 to FARM FRESH MEATS - BLACKTOWN 813(FARM FRESH MEATS - BLACKTOWN 813) ref #143473,111,7:59,7:59,0,"17 Patrick St, Blacktown NSW 2148, Australia",8:03,8:03
9,Delivery #234861 to FARM FRESH MEATS - BLACKTOWN 813(FARM FRESH MEATS - BLACKTOWN 813) ref #143473,111,7:59,7:59,5,"17 Patrick St, Blacktown NSW 2148, Australia",8:03,8:03
10,Delivery #234982 to CANDELORI'S(CANDELORI'S),44,8:21,8:21,5,"685 The Horsley Dr, Smithfield NSW 2164, Australia",8:28,8:28
11,Delivery #234877 to HILAL MEAT(HILAL MEAT) ref #143501,272,8:34,8:34,5,"4/7 Birmingham Ave, Villawood NSW 2163, Australia",8:42,8:42
12,Depot,,8:47,8:47,0,"22 George Young St, Regents Park NSW 2143, Australia",8:55,8:55
1,Start at depot ,0,7:00,7:00,0,"22 George Young St, Regents Park NSW 2143, Australia",7:00,7:00
2,Delivery #234870 to DELLWOOD BUTCHERY AND DELI(DELLWOOD BUTCHERY AND DELI) ref #143499,46,7:07,7:07,5,"12 Dellwood St, South Granville NSW 2142, Australia",7:07,7:07
3,Delivery #227670 to DELLWOOD BUTCHERY AND DELI(DELLWOOD BUTCHERY AND DELI) ref #143499,46,7:12,7:12,0,"12 Dellwood St, South Granville NSW 2142, Australia",7:07,7:07
4,Delivery #233661 to PARRAMATTA BUTCHERY - OPENS 9 AM(PARRAMATTA BUTCHERY - OPENS 9 AM) ref #143506,136,7:19,7:19,0,"125 Church St, Parramatta NSW 2150, Australia",7:22,7:22
5,Delivery #227673 to PARRAMATTA BUTCHERY - OPENS 9 AM(PARRAMATTA BUTCHERY - OPENS 9 AM) ref #143506,136,7:19,7:19,0,"125 Church St, Parramatta NSW 2150, Australia",7:22,7:22
6,Delivery #234873 to PARRAMATTA BUTCHERY - OPENS 9 AM(PARRAMATTA BUTCHERY - OPENS 9 AM) ref #143506,136,7:19,7:19,5,"125 Church St, Parramatta NSW 2150, Australia",7:22,7:22
7,Delivery #227669 to THE VILLAGE PANTRY(THE VILLAGE PANTRY) ref #143539,341,7:31,7:31,0,"125 Smith St, Pendle Hill NSW 2145, Australia",7:37,7:37
8,Delivery #234869 to THE VILLAGE PANTRY(THE VILLAGE PANTRY) ref #143539,341,7:31,7:31,5,"125 Smith St, Pendle Hill NSW 2145, Australia",7:37,7:37
9,Delivery #234972 to JO' CATERING(JO' CATERING),33,8:00,8:00,5,"Somerset St, Kingswood NSW 2747, Australia",8:05,8:05
10,Delivery #234866 to SUTCLIFFE NEPEAN SQ(SUTCLIFFE NEPEAN SQ) ref #143586,37,8:10,8:10,5,"121 Station St, Penrith NSW 2750, Australia",8:15,8:15
11,Delivery #227666 to SUTCLIFFE NEPEAN SQ(SUTCLIFFE NEPEAN SQ) ref #143586,37,8:15,8:15,0,"121 Station St, Penrith NSW 2750, Australia",8:15,8:15
12,Delivery #234969 to PIETRO RESTAURANT(PIETRO RESTAURANT),23,8:44,8:44,5,"41 Fourteenth St, Warragamba NSW 2752, Australia",8:45,8:45
13,Delivery #227662 to GOURMET MEAT COMPANY PTY LTD(GOURMET MEAT COMPANY PTY LTD) ref #143590,44,9:16,9:16,0,"116 Old Bathurst Rd, Emu Heights NSW 2750, Australia",9:14,9:14
14,Delivery #234862 to GOURMET MEAT COMPANY PTY LTD(GOURMET MEAT COMPANY PTY LTD) ref #143590,44,9:16,9:16,5,"116 Old Bathurst Rd, Emu Heights NSW 2750, Australia",9:14,9:14
15,Delivery #234971 to LAKESIDE RESTAURANT(LAKESIDE RESTAURANT),19,9:35,9:35,5,"Gate A, Old Castlereagh Rd, Castlereagh NSW 2749, Australia",9:33,9:33
16,"Penrith NSW 2750, Australia",,9:50,9:50,0,"Penrith NSW 2750, Australia",9:47,9:47
1,Start at depot ,0,7:51,7:51,0,"22 George Young St, Auburn NSW 2144, Australia",7:51,7:51
2,Delivery #241998 to HILAL MEAT(HILAL MEAT) ref #143501,272,8:00,8:00,15,"4/7 Birmingham Ave, Villawood NSW 2163, Australia",8:00,8:00
3,Delivery #241997 to BABYLON BUTCHERY(BABYLON BUTCHERY) ref #143587,51,8:21,8:21,15,"35A The Crescent, Fairfield NSW 2165, Australia",8:22,8:22
4,Delivery #242005 to THEO'S CECINAS - FAIRFIELD WEST(THEO'S CECINAS - FAIRFIELD WEST) ref #143504,80,8:39,8:39,15,"205 Hamilton Rd, Fairfield NSW 2165, Australia",8:40,8:40
5,Delivery #242103 to CANDELORI'S(CANDELORI'S),44,8:59,8:59,15,"685 The Horsley Dr, Smithfield NSW 2164, Australia",9:01,9:01
6,Delivery #241990 to THE VILLAGE PANTRY(THE VILLAGE PANTRY) ref #143539,341,9:22,9:22,15,"125 Smith St, Pendle Hill NSW 2145, Australia",9:27,9:27
7,Delivery #241984 to JONE FOODS(JONE FOODS) ref #143551,94,9:42,9:42,15,"4/4-6 Wiltona Pl, Girraween NSW 2145, Australia",9:47,9:47
8,Delivery #241986 to RONG HUA BUTCHERY - BLACKTOWN(RONG HUA BUTCHERY - BLACKTOWN) ref #143580,185,10:08,10:08,15,"57 Main St, Blacktown NSW 2148, Australia",10:15,10:15
9,Delivery #241982 to FARM FRESH MEATS - BLACKTOWN 813(FARM FRESH MEATS - BLACKTOWN 813) ref #143473,111,10:25,10:25,15,"17 Patrick St, Blacktown NSW 2148, Australia",10:32,10:32
10,Delivery #241989 to SUTCLIFFE SEVEN HILLS PLAZA(SUTCLIFFE SEVEN HILLS PLAZA) ref #143583,16,10:46,10:46,15,"Seven Hills NSW 2147, Australia",10:54,10:54
11,Delivery #241993 to IVANS BUTCHERY BELLA VISTA(IVANS BUTCHERY BELLA VISTA) ref #143532,44,11:07,11:07,15,"Circa Retail, 1 Circa Boulevarde, Bella Vista NSW 2153, Australia",11:20,11:20
12,Delivery #241988 to SUTCLIFFE PLUMPTON(SUTCLIFFE PLUMPTON) ref #143585,45,11:35,11:35,15,"M2/260 Jersey Rd, Plumpton NSW 2761, Australia",11:52,11:52
13,Delivery #242099 to THE LAMP POST(THE LAMP POST),47,12:02,12:02,15,"26 Stony Creek Rd, Shanes Park NSW 2747, Australia",12:19,12:19
14,"Shanes Park NSW 2747, Australia",0,12:21,12:21,0,"Shanes Park NSW 2747, Australia",12:36,12:36
1,"Start at Oriaon Springfield Central, 1 Main St, Springfield Central QLD 4300, Australia",,8:45,8:45,0,"Oriaon Springfield Central, 1 Main St, Springfield Central QLD 4300, Australia",8:45,8:45
2,Pickup #254053 from Yamanto LCC ref #CO13,,9:05,9:13,3,"Warwick Rd & Cunningham Highway, Yamanto QLD 4305, Australia",9:01,9:01
3,Pickup #254054 from Brookwater LCC ref #CO13,,9:26,9:35,3,"2 Tournament Dr, Brookwater QLD 4300, Australia",9:22,9:22
4,Pickup #254055 from Springfield Metro LCC ref #CO13,,9:35,9:45,3,"1 Springfield Lakes Blvd, Springfield Lakes QLD 4300, Australia",9:31,9:31
5,Delivery #254056 to Main (main) ref #CO13,,10:15,10:25,21,"Raymond Terrace, South Brisbane QLD 4101, Australia",10:05,10:05
6,Pickup #254057 from Yamanto LCC ref #CO13,,11:15,11:25,3,"Warwick Rd & Cunningham Highway, Yamanto QLD 4305, Australia",11:07,11:07
7,Pickup #254058 from Brookwater LCC ref #CO13,,11:40,11:50,3,"2 Tournament Dr, Brookwater QLD 4300, Australia",11:28,11:28
8,Pickup #254059 from Springfield Central LCC ref #CO13,,11:50,12:00,3,"1 Main Street Springfield, Springfield Central QLD 4300, Australia",11:37,11:37
9,Delivery #254060 to Mater Private Hospital Springfield(MPHS) ref #CO13,,12:05,12:15,1,"30 Health Care Dr, Springfield Central QLD 4300, Australia",11:45,11:45
10,Pickup #254061 from Yamanto LCC ref #CO13,,12:35,12:43,3,"Warwick Rd & Cunningham Highway, Yamanto QLD 4305, Australia",12:06,12:06
11,Pickup #254062 from Brookwater LCC ref #CO13,,12:56,13:05,3,"2 Tournament Dr, Brookwater QLD 4300, Australia",12:27,12:27
12,Pickup #254063 from Springfield Metro LCC ref #CO13,,13:05,13:15,3,"1 Springfield Lakes Blvd, Springfield Lakes QLD 4300, Australia",12:36,12:36
13,Pickup #254064 from Springfield Central LCC ref #CO13,,13:15,13:25,3,"1 Main Street Springfield, Springfield Central QLD 4300, Australia",12:45,12:45
14,Delivery #254065 to Mater Private Hospital Springfield(MPHS) ref #CO13,,13:25,13:35,31,"30 Health Care Dr, Springfield Central QLD 4300, Australia",12:53,12:53
15,Pickup #254066 from Mater Private Hospital Springfield ref #CO13,,14:05,14:15,3,"30 Health Care Dr, Springfield Central QLD 4300, Australia",13:24,13:24
16,Pickup #254067 from Inala LCC ref #CO13,,14:30,14:40,3,"119 Biota St, Inala QLD 4077, Australia",13:46,13:46
17,Pickup #254068 from Grow Medical Oxley ref #CO13,,14:45,14:55,3,"169 Seventeen Mile Rocks Rd, Oxley QLD 4075, Australia",13:59,13:59
18,Pickup #254069 from Sherwood LCC ref #CO13,,15:00,15:10,3,"9/600 Sherwood Rd, Sherwood QLD 4075, Australia",14:09,14:09
19,Delivery #254070 to Main (main) ref #CO13,,15:35,15:45,1,"Raymond Terrace, South Brisbane QLD 4101, Australia",14:29,14:29
20,Delivery #254071 to Springfield Central LCC(SPL) ref #CO13,,16:45,16:55,1,"1 Main Street Springfield, Springfield Central QLD 4300, Australia",15:00,15:00
